Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,"John Stanford,McDonald"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,View Ridge
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cedar Park
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Lawton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Hazel Wolf
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, Greater than 5 miles",B.F. Day
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,New Queen Anne Route
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lafayette
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Gatewood
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Catharine Blaine,Coe,Lincoln"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Salmon Bay
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Thurgood Marshall
Yes,No,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, Greater than 5 miles","B.F. Day,Hamilton"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Graham Hill
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Salmon Bay
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Thorton Creek
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Sacajawea
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lafayette
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,1 to 3 miles,"Ballard,Salmon Bay"
Yes,No,"Bus route is NOT running. Forced to use other transportation options., Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 3 to 5 miles",Thorton Creek
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Decatur
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles","Cascadia,Greenwood"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Fairmount Park,Madison"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Ballard
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thurgood Marshall
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles","Eckstein,Thorton Creek"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Thorton Creek
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Lawton
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,"Less than 1 mile, 1 to 3 miles",Ballard
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,View Ridge
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Genesee Hill
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Decatur
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Aki Kurose,Wing Luke"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Roosevelt
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Genesee Hill
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Greater than 5 miles,Gatewood
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Fairmount Park
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Loyal Heights
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Salmon Bay
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,View Ridge
Yes,No,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,"Chief Sealth,Lafayette"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Greek Lake,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Genesee Hill
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Olympic View
Yes,No,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Madrona
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Denny,UGH"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Roosevelt
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greenwood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic View
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Wedgewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Genesee Hill
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic Hills
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Hazel Wolf
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Pathfinder
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 3 to 5 miles","Cascadia,John Rogers"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,"Less than 1 mile, 1 to 3 miles",Gatewood
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Salmon Bay,West Woodland"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,1 to 3 miles,"Ballard,Salmon Bay"
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Alki,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,West Woodland
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,"B.F. Day,Hamilton"
Yes,Yes,"Bus route consistently on-time, Bus route consistently late",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Kimball
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Kimball
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Lafayette
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Cedar Park
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,No,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"John Stanford,Salmon Bay"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greenwood
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,"Hamilton,Lincoln"
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Jane Addams,Nathan Hale"
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Lincoln
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,TOPS
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hazel Wolf,Thorton Creek"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,Less than 1 mile,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Ingraham
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Hamilton,John Stanford"
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"B.F. Day,Hamilton,Lincoln"
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Thorton Creek
Yes,Yes,"Bus route consistently on-time, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Broadview-Thomson
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Genesee Hill,Madison"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,"John Stanford,Lincoln"
Yes,No,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,John Stanford"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Hamilton,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Arbor Heights,Chief Sealth"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Alki,West Seattle High School"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles",Madison
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,Less than 1 mile,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Hamilton
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Hamilton,West Woodland"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Ballard,Salmon Bay"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Arbor Heights
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Jane Addams,Olympic View"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,Whitman
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
Yes,No,"Bus route consistently on-time, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Thorton Creek
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Lincoln
Yes,Yes,"Bus route consistently late, Bus route is NOT running. Forced to use other transportation options.",Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,Hazel Wolf
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Ballard,Magnolia"
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Gatewood
Yes,Yes,Bus route consistently late,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Cascadia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,"Ballard,Fairmount Park"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Alki
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Salmon Bay
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, 3 to 5 miles","Cascade PP,Thorton Creek"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Cedar Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Kimball
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,John Rogers
Yes,No,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Hazel Wolf
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles","Hamilton,UGH"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Concord
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,"Hamilton,Hazel Wolf"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Roxhill
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Lafayette
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,"Gatewood,Pathfinder,UGH"
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,"Ballard,McClure"
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Daniel Bagley
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"John Stanford,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
Yes,No,"Bus route consistently late, Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Greek Lake,McDonald"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic Hills
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Washington
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Dearborn Park
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lawton
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,Less than 1 mile,Jane Addams
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Olympic Hills
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Hazel Wolf
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Gatewood,Madison"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,View Ridge
